award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
date of birth	Dan Empfield (born 1957) is an entrepreneur in the world of multisport, inventor of the triathlon wetsuit in 1987, and the triathlon-specific racing bike in 1989.	Dan Empfield	1957
date of birth	Rifat Artikov (born 24 January 1983, in Tashkent Region) is an Uzbek decathlete.	Rifat Artikov	24 January 1983
date of birth	Kakuji Inagawa (稲川 角二 Inagawa Kakuji), also known as Seijō Inagawa (稲川 聖城 Inagawa Seijō; November 1914 -- December 22, 2007) was a Japanese yakuza boss best known for founding the Inagawa-kai, Japan's third-largest yakuza syndicate.	Kakuji Inagawa	November 1914
date of birth	Chan Hin Kwong (Chinese: 陳衍光; Jyutping: can4 hin2 gwong1 ; born 27 February 1988 in Hong Kong), is a Hong Kong footballer who plays for Hong Kong Premier League club Yuen Long, as a Left-back.	Chan Hin Kwong	27 February 1988
date of birth	Ren Hang (Chinese: 任航; pinyin: Rén Háng; born 23 February 1989) is a Chinese footballer who currently plays for Jiangsu Suning in the Chinese Super League.	Ren Hang	23 February 1989
date of birth	Enid Lakeman, OBE (28 November 1903 - 7 January 1995) was a British political reformer, writer and politician, noted for her long-standing championship of the Single Transferable Vote system of elections.	Enid Lakeman	28 November 1903
date of birth	Jenny Downham (born 1964) is a British novelist and an ex-actress.	Jenny Downham	1964
date of birth	Bobby Lounge (born Dub Brock, 1950) is an American singer-songwriter from McComb, Mississippi, United States.	Bobby Lounge	1950
date of birth	Richard Lloyd Parry (born 1969) is a British foreign correspondent and writer.	Richard Lloyd Parry	1969
date of birth	Jin Liqun (Chinese: 金立群; born August 1949) is a Chinese politician, banker, and professor.	Jin Liqun	1949
date of birth	Jamie Sandy (born 18 January 1963) is an Australian professional rugby league footballer of the 1980s, playing at club level for Wests Panthers, Eastern Suburbs Tigers, Castleford, and Redcliffe Dolphins, as a Fullback, or Wing.	Jamie Sandy	18 January 1963
date of birth	Anthony Yuen (Chinese: 阮次山; pinyin: Ruǎn Cìshān; born 1946), is a Chinese American editor and anchor on the Hong Kong-based television and media station Phoenix Television.	Anthony Yuen	1946
date of birth	Kieron Lloyd Junior Minto-St Aimie (born 4 May 1989), known as Kieron St Aimie, is an English Professional footballer who plays for Welling United as a striker having signed for them in the summer of 2014.	Kieron St Aimie	4 May 1989
date of birth	Park Hyun-sun (born 22 January 1988) is a South Korean synchronized swimmer.	Park Hyun-sun	22 January 1988
date of birth	Kathleen Gibson (born Kitty Stride, 1916) is a former British actress.	Kathleen Gibson	1916
date of birth	Ernesto Bertarelli (born 22 September 1965) is an Italian-born Swiss businessman and philanthropist.	Ernesto Bertarelli	22 September 1965
date of birth	Jeong Shung-hoon (Hangul: 정성훈; born 4 July 1979) is a South Korean footballer who currently plays for Gimhae FC as striker.	Jeong Shung-hoon	4 July 1979
date of birth	Salman Al-Moasher (born 5 October 1988) is a football player for Al-Ahli in the Saudi Premier League.	Salman Al-Moasher	5 October 1988
date of birth	Vice Admiral Sir Alan Grose KBE (born 24 September 1937) is a former Royal Navy officer who became Flag Officer, Plymouth.	Alan Grose	24 September 1937
date of birth	Kadri Prishtina (1878--1925), also referred as Hoxha Kadri, was an Albanian political figure of the early '20s.	Kadri Prishtina	1878
date of birth	Gerard Maguire (born 1945) is an Australian stage, voice artist and television actor, best known for his role as Deputy Governor Jim Fletcher in Prisoner.	Gerard Maguire	1945
date of birth	Professor David S. Oderberg (born 1963) is an Australian philosopher of metaphysics and ethics based in Britain since 1987.	David S. Oderberg	1963
date of birth	Alison Jiear (born 6 May 1965) is a popular cabaret artist and musical theatre performer on the London cabaret circuit.	Alison Jiear	6 May 1965
date of birth	Garry Schyman (born 1954) is an American film, television, and video game music composer.	Garry Schyman	1954
date of birth	Efraim Halevy (Hebrew: אפרים הלוי‎; born 2 December 1934) is a lawyer and an Israeli intelligence expert.	Efraim Halevy	1934
date of birth	Oktay Kaynarca (b. 27 January 1965 in Malatya) Turkish actor.	Oktay Kaynarca	27 January 1965
date of birth	Joanne Calderwood (born 23 December 1986) is a Scottish Muay Thai champion and mixed martial artist who competes in the Women's Strawweight division of the Ultimate Fighting Championship.	Joanne Calderwood	23 December 1986
date of birth	Liam Coyle (born 21 May 1968) is a former Northern Irish footballer.	Liam Coyle	21 May 1968
date of birth	Andre Crawford (born 20 March 1962) is an American convicted serial killer, who killed 11 women between 1993 to 1999.	Andre Crawford	20 March 1962
date of birth	Gro Steinsland (born 1945) is a Norwegian scholar of medieval studies and history of religion and since August 2009 has been the Scientific Director of the Centre for Advanced Study at the Norwegian Academy of Science and Letters.	Gro Steinsland	1945
date of birth	Alex Bag (born 1969) is an artist working primarily in video.	Alex Bag	1969
date of birth	Theophilus Hastings, 9th Earl of Huntingdon (12 November 1696 -- 13 October 1746) was the son of Theophilus Hastings, 7th Earl of Huntingdon and Mary Frances Fowler.	Theophilus Hastings, 9th Earl of Huntingdon	12 November 1696
date of birth	Daniel Boone May (1852 -- 1878), known as Boone May, was an American gunfighter, of the Black Hills of South Dakota.	Daniel Boone May	1852
date of birth	Jay Blumler (born 1924) is an American-born theorist of communication and media.	Jay Blumler	1924
date of birth	Guiniforte Solari (c. 1429 -- c. 1481), also known as Boniforte, was an Italian sculptor, architect and engineer.	Guiniforte Solari	1429
date of birth	Arturo Varvelli (Turin, 1976) is a researcher at ISPI (Italian Institute for International Political Studies).	Arturo Varvelli	1976
date of birth	Ron Bottitta (born 25 December 1960) is a British actor appearing in theatre and minor roles in both television and film.	Ron Bottitta	25 December 1960
date of birth	Tex Brashear (born 2 January 1955) is a voice actor, who after a career in radio in Texas, Arizona, and Los Angeles, made the transition into voice acting.	Tex Brashear	2 January 1955
date of birth	Rabi Maharaj (born 8 August 1947) is Trinidadian-born bestselling Indian author.	Rabi Maharaj	8 August 1947
date of birth	Anthony John Gledhill GC (born 10 March 1938 in Doncaster), known as Tony Gledhill, won the George Cross for the heroism he displayed on 25 August 1966 in chasing and subduing armed criminals.	Tony Gledhill	10 March 1938
date of birth	Yusuf Nabi (1642 -- 10 April 1712) was a Turkish Divan poet of Kurdish origin in the court of Mehmet IV. He was famous for ``his brilliant lyrics filled with popular sayings and critiques of the age and verses commemorating innumerable important occasions.''	Yusuf Nabi	1642
date of birth	David Gelbaum (born in c. 1950) is an American businessman and primarily green technology investor and environmental philanthropist.	David Gelbaum	1950
date of birth	Marc Phillips (born 8 December 1953) is a Welsh charity manager and former politician.	Marc Phillips	8 December 1953
date of birth	Rolf Majcen (born 1966) is a Lower Austrian economist-lawyer, writer and extreme sports athlete.	Rolf Majcen	1966
date of birth	Pam Rhodes (born 22 September 1950) is an English television presenter best known for presenting the BBC television long-running religious series Songs of Praise.	Pam Rhodes	22 September 1950
date of death	Sir William Harold Webbe, CBE, DL (30 September 1885 -- 22 April 1965) was a British politician.	Harold Webbe	22 April 1965
date of death	Phyllis Crawford (February 8, 1899 -- July 1980) was, during the 1930s and 1940s, a celebrated author of books for children in their early teens.	Phyllis Crawford	July 1980
developer	GNU Guile is the preferred extension system for the GNU Project, which features an implementation of the Scheme programming language.	GNU Guile	GNU Project
developer	Crystal Monsters, originally released in Japan in 2008 as Monster Chronicles for mobile phones, is a role-playing video game developed by Gameloft for Nintendo DSiWare.	Crystal Monsters	Gameloft
director	Swaham (My Own) (1994) is an award-winning feature film directed by Shaji N. Karun.	Swaham	Shaji N. Karun
director	Ondu Muttina Kathe (Kannada: ಒಂದು ಮುತ್ತಿನ ಕಥೆ, English: Story of a Pearl) is a 1987 Indian Kannada film directed by Shankar Nag, starring Rajkumar in the lead role.	Ondu Muttina Kathe	Shankar Nag
director	Irving J. Moore, later with Gunsmoke, began his career as a director on two episodes of Tales of the Texas Rangers.	Tales of the Texas Rangers	Irving J. Moore
director	A Woman's Wit is a 1910 silent short film directed by Joseph A. Golden.	A Woman's Wit	Joseph A. Golden
director	In the Days of Buffalo Bill is a 1922 American western film serial directed by Edward Laemmle.	In the Days of Buffalo Bill	Edward Laemmle
director	The Original of the Forgery (Serbian: Original falsifikata) is a 1991 Yugoslav drama film directed by Dragan Kresoja.	The Original of the Forgery	Dragan Kresoja
director	We Went to College is a 1936 American comedy film directed by Joseph Santley and written by Richard Maibaum and Maurice Rapf.	We Went to College	Joseph Santley
director	Odessa in Flames (Romanian: Odessa în flăcări) (Italian: Odessa in fiamme) is a 1942 Italian-Romanian film directed by Carmine Gallone.	Odessa in Flames	Carmine Gallone
director	The Last Days of Colonel Savath is a 1995 Cambodian short film drama directed by Norodom Sihanouk.	The Last Days of Colonel Savath	Norodom Sihanouk
director	A Talking Cat!?! is a 2013 independent children's film that was directed by David DeCoteau.	A Talking Cat!?!	David DeCoteau
director	Lethal Film (Swedish: Livsfarlig film) is a 1988 Swedish drama film directed by Suzanne Osten.	Lethal Film	Suzanne Osten
director	Lies and Lullabies is an award-winning Rod Hardy-directed 1993 ABC television movie about a pregnant cocaine addict, played by Susan Dey.	Lies and Lullabies	Rod Hardy
director	Blind Horizon is a 2003 conspiracy mystery thriller film directed by Michael Haussman.	Blind Horizon	Michael Haussman
director	A Serpentine Dance (French: Danse Serpentine) was an 1896 French silent film directed by Georges Méliès.	A Serpentine Dance	Georges Méliès
director	Three Crowns of the Sailor (French: Les Trois couronnes du matelot) is a 1983 French fantasy film directed by Raúl Ruiz.	Three Crowns of the Sailor	Raúl Ruiz
director	Dance, Girl, Dance is a film released in 1940 and directed by Dorothy Arzner.	Dance, Girl, Dance	Dorothy Arzner
director	Some May Live is a 1967 British war film directed by Vernon Sewell and starring Peter Cushing, Joseph Cotten and Martha Hyer.	Some May Live	Vernon Sewell
director	Dhruvam (Malayalam: ധ്രുവം, English: Certainly) is a 1993 Malayalam thriller film directed by Joshiy,where story and dialogue were by A.K.Sajan and screenplay by A.K.Sajan and S.N.Swami .	Dhruvam	Joshiy
director	Stake Land is a 2010 American vampire horror film in the zombie apocalypse vein directed by Jim Mickle and starring Nick Damici, who cowrote the script with Mickle.	Stake Land	Jim Mickle
director	June 17th, 1994 is a documentary film by Brett Morgen released as part of ESPN's 30 for 30 series.	June 17th, 1994	Brett Morgen
director	Three-Ring Marriage is a 1928 American silent drama film directed by Marshall Neilan and starring Mary Astor, Lloyd Hughes and Lawford Davidson.	Three-Ring Marriage	Marshall Neilan
director	Deadly Relations is a 1993 American television film directed by Bill Condon.	Deadly Relations	Bill Condon
director	Fløjtespilleren is a 1953 Danish family film directed by Alice O'Fredericks.	Fløjtespilleren	Alice O'Fredericks
director	It Happened in the Park (Italian: Villa Borghese) is a 1953 film directed by Vittorio de Sica and Gianni Franciolini.	It Happened in the Park	Gianni Franciolini
director	Hercules Against the Mongols (Italian: Maciste contro i mongoli) is a 1963 Italian peplum film directed by Domenico Paolella.	Hercules Against the Mongols	Domenico Paolella
director	A Very Honorable Guy is a 1934 American Pre-Code comedy film directed by Lloyd Bacon and written by Earl Baldwin.	A Very Honorable Guy	Lloyd Bacon
director	We Can't Live Without Cosmos (Russian: Mi ne mozhem zhit bez kosmosa) is a 2014 Russian animated short film directed and written by Konstantin Bronzit.	We Can't Live Without Cosmos	Konstantin Bronzit
director	Uppu (Malayalam: ഉപ്പ്, English: Salt, French: Le Sel) is a 1987 Indian Malayalam film directed by V. K. Pavithran and written by K. M. A. Rahim.	Uppu	Pavithran
director	Compressed Hare is a Merrie Melodies cartoon directed by Chuck Jones and featuring Bugs Bunny and Wile E. Coyote (in their fourth pairing), released on July 29, 1961.	Compressed Hare	Chuck Jones
director	Postmen in the Mountains (Chinese: 那山那人那狗; pinyin: Nàshān nàrén nàgǒu; literally: ``That Mountain, That Man, That Dog'') is a 1999 Chinese film directed by Huo Jianqi.	Postmen in the Mountains	Huo Jianqi
director	They Came to Blow Up America is a 1943 American war spy film based on the World War II Operation Pastorius, directed by Edward Ludwig.	They Came to Blow Up America	Edward Ludwig
director	An Odyssey of the North is a 1914 American adventure film directed by Hobart Bosworth and written by Hettie Grey Baker and Hobart Bosworth.	An Odyssey of the North	Hobart Bosworth
director	Rehearsing a Dream is a short documentary directed and produced by four time Academy Award nominees Karen Goodman and Kirk Simon.	Rehearsing a Dream	Karen Goodman
director	The Third Kiss (Spanish: El tercer beso) is a 1942 Argentine romantic drama film directed by Luis César Amadori and starring Pedro López Lagar, Silvia Legrand and Amelia Bence.	The Third Kiss	Luis César Amadori
director	The Unpainted Woman is a 1919 American drama film directed by Tod Browning that is based upon a story by Sinclair Lewis.	The Unpainted Woman	Tod Browning
director	Serial Teachers 2 (French: The Profs 2 / Les Profs 2) is a 2015 French comedy film directed by Pierre-François Martin-Laval.	Serial Teachers 2	Pierre-François Martin-Laval
director	The First Mass (Portuguese: A Primeira Missa) is a 1961 Brazilian drama film directed by Lima Barreto, based on Nair Lacerda's short story ``Nhá Colaquinha Cheia de Graça''.	The First Mass	Lima Barreto
director	The Ghost and Mr. Chicken was directed by Alan Rafkin with a screenplay by Jim Fritzell and Everett Greenbaum; all three men had been associated with the success of The Andy Griffith Show.	The Ghost and Mr. Chicken	Alan Rafkin
director	Don Olsen kommer til byen is a 1964 Danish comedy film directed by Anker Sørensen.	Don Olsen kommer til byen	Anker Sørensen
director	Happy Tears is an American independent comedy-drama film by Mitchell Lichtenstein.	Happy Tears	Mitchell Lichtenstein
director	Bye Bye Braverman is a 1968 American comedy film directed by Sidney Lumet.	Bye Bye Braverman	Sidney Lumet
director	Live Feed is a 2006 horror film directed by Ryan Nicholson and starring Kevan Ohtsji, Taayla Markell and Stephen Chang.	Live Feed	Ryan Nicholson
director	A Slight Case of Murder is a 1938 comedy film directed by Lloyd Bacon.	A Slight Case of Murder	Lloyd Bacon
director	Better Than Chocolate is a 1999 Canadian romantic comedy movie shot in Vancouver directed by Anne Wheeler.	Better Than Chocolate	Anne Wheeler
director	Orange Mittai (English: Orange candy) is a 2015 Indian Tamil comedy film co-written and directed by Biju Viswanath.	Orange Mittai	Biju Viswanath
director	What Iva Recorded (Croatian: Što je Iva snimila 21. listopada 2003., lit. What Iva Recorded On 21 October 2003) is a 2005 Croatian comedy-drama film directed by Tomislav Radić.	What Iva Recorded	Tomislav Radić
director	Occupy Unmasked is a 2012 American documentary film directed by Stephen Bannon and produced by David Bossie, which is critical of the Occupy movement and was produced by Citizens United Productions.	Occupy Unmasked	Stephen Bannon
director	Pursuit of Equality is a 2005 documentary film directed by Geoff Callan and Mike Shaw, about the struggle of same-sex couples for marriage equality in the United States.	Pursuit of Equality	Mike Shaw
director	The Tough Ones (Finnish: Häjyt) is a 1999 Finnish film directed by Aleksi Mäkelä.	The Tough Ones	Aleksi Mäkelä
director	The Night Club is a 1925 American comedy silent film directed by Paul Iribe and Frank Urson and written by Cecil B. DeMille, Keene Thompson, Walter Woods and William C. deMille.	The Night Club	Paul Iribe
director	Rakta Sindhuram (Telugu: రక్త సింధూరం) is a 1985 Telugu film directed by A. Kodandarami Reddy.	Rakta Sindhuram	A. Kodandarami Reddy
director	The Missourians is a 1950 American Western film directed by George Blair and written by Arthur E. Orloff.	The Missourians	George Blair
director	The Wretches Are Still Singing (Greek: Τα Κουρέλια Τραγουδάνε Ακόμα..., tr. Ta Kourelia Tragoudane Akoma...) is a 1979 Greek dramatic experimental independent surrealist underground art film directed by Nikos Nikolaidis.	The Wretches Are Still Singing	Nikos Nikolaidis
director	Christmas Rathri is a 1961 Indian Malayalam film, directed and produced by P. Subramaniam and was filmed at Merryland Studio.	Christmas Rathri	P. Subramaniam
director	He Named Me Malala is a 2015 American documentary film directed by Davis Guggenheim.	He Named Me Malala	Davis Guggenheim
director	Vi arme syndere (English: Us Petty Sinners) is a 1952 Danish comedy film directed by Erik Balling and Ole Palsbo.	Vi arme syndere	Erik Balling
director	Pelli Peetalu (English: Wedding Seats) is a 1998 Telugu romantic comedy produced by V. B. Rajendra Prasad on Jagapati Art Pictures banner, directed by S. V. Krishna Reddy.	Pelli Peetalu	S. V. Krishna Reddy
director	Letters from Alou (Spanish: Las cartas de Alou) is 1990 Spanish film directed and written by Montxo Armendáriz.	Letters from Alou	Montxo Armendáriz
director	Go Goa Gone is a 2013 Hindi zombie comedy film directed by Raj Nidimoru and Krishna D.K..	Go Goa Gone	Raj Nidimoru and Krishna D.K.
director	The Emperor's Nightingale (Czech: Císařův slavík) is a 1949 Czechoslovak animated film directed by Jiří Trnka and Miloš Makovec.	The Emperor's Nightingale	Jiří Trnka
director	Mob Queen is an American romantic comedy released in 1998, directed by Jon Carnoy and written by Mike Horelick.	Mob Queen	Jon Carnoy
director	Thun Man Handiya (Sinhala, Three Way Junction) is a 1970 dramatic film made by Sri Lankan artist Mahagama Sekera.	Thun Man Handiya	Mahagama Sekera
director	The Reenactment (Romanian: 'Reconstituirea') is a 1968 black-and-white film by Romanian director Lucian Pintilie.	The Reenactment	Lucian Pintilie
director	Wake Up, Girls! is an anime series produced by Ordet and Tatsunoko Production and directed by Yutaka Yamamoto.	Wake Up, Girls!	Yutaka Yamamoto
director	Tom in America is a short film by writer-director Flavio Alves, starring Academy Award nominees Burt Young and Sally Kirkland.	Tom in America	Flavio Alves
director	Roman Holiday is a 1953 American romantic comedy directed and produced by William Wyler.	Roman Holiday	William Wyler
director	Zehreela Insaan (Toxic Human) is a 1974 Hindi film directed by Puttanna Kanagal and produced by Virendra Sinha.	Zehreela Insaan	Puttanna Kanagal
director	Hear Me Good is a 1957 American comedy film written and directed by Don McGuire.	Hear Me Good	Don McGuire
director	The Kibitzer is a 1930 American comedy film directed by Edward Sloman and written by Marion Dix, Sam Mintz, Edward G. Robinson, Viola Brothers Shore and Jo Swerling.	The Kibitzer	Edward Sloman
director	Beyond Justice/Desert Law/Law of the Desert/Maktub, Law of the Desert is a 1992 Italian film directed by Duccio Tessari that was shot in Morocco.	Beyond Justice	Duccio Tessari
director	Look Both Ways is a 2005 Australian independent film, written and directed by Sarah Watt, starring an ensemble cast, which was released on 18 August 2005.	Look Both Ways	Sarah Watt
director	How Funny (This Country Is) (Indonesian: Alangkah Lucunya (Negeri Ini)) is a 2010 Indonesian comedy film directed by Deddy Mizwar.	How Funny (This Country Is)	Deddy Mizwar
director	Vegetarian Cannibal (Croatian: Ljudožder vegetarijanac) is a 2012 Croatian drama film directed by Branko Schmidt.	Vegetarian Cannibal	Branko Schmidt
director	Iron Monkey 2 is a 1996 Hong Kong martial arts film directed by Chao Lu-jiang and featuring action choreography by Yuen Woo-ping.	Iron Monkey 2	Yuen Woo-ping
director	The Trapp Family in America (German: Die Trapp-Familie in Amerika) is a 1958 West German comedy drama film directed by Wolfgang Liebeneiner and starring Ruth Leuwerik, Hans Holt, and Josef Meinrad.	The Trapp Family in America	Wolfgang Liebeneiner
director	That Night! is a 1957 American drama film directed by John Newland and written by Jack Rowles and Robert Wallace.	That Night!	John Newland
director	The Designated Victim (Italian: La vittima designata, also known as Slam Out) is a 1971 Italian giallo film directed by Maurizio Lucidi.	The Designated Victim	Maurizio Lucidi
director	Kaadu Kudure (Kannada: ಕಾಡು ಕುದುರೆ) is a 1979 Indian Kannada drama film directed, written and composed by Chandrashekhara Kambara and produced by Wheel Productions.	Kaadu Kudure	Chandrashekhara Kambara
director	South of Heaven, West of Hell is a 2000 American Western film starring Dwight Yoakam, who also co-wrote, directed, and scored the movie.	South of Heaven, West of Hell	Dwight Yoakam
director	Qué hombre tan sin embargo is a 1967 Mexican comedy-drama film directed by Julián Soler and produced by Gregorio Walerstein.	Qué hombre tan sin embargo	Julián Soler
director	Marecek, Pass Me the Pen! (Czech: Marečku, podejte mi pero!) is a 1976 Czechoslovak comedy film directed by Oldřich Lipský.	Marecek, Pass Me the Pen!	Oldřich Lipský
director	Pelle viva (Scorched Skin) is a 1962 Italian drama film written and directed by Giuseppe Fina.	Pelle viva	Giuseppe Fina
director	Pokkiri (English: Rogue) is a 2007 Tamil action film directed by Prabhu Deva.	Pokkiri	Prabhu Deva
director	The Striker with Number 9 (Greek: Η Φανέλα με το ``9'', translit. I fanela me to '9') is a 1989 Greek drama film directed by Pantelis Voulgaris.	The Striker with Number 9	Pantelis Voulgaris
director	Treeless Mountain (Hangul: 나무없는 산; RR: Namueopneun San) is a 2008 South Korean drama film written and directed by So Yong Kim.	Treeless Mountain	So Yong Kim
director	Weddings and Babies is a 1960 film directed, produced, and written by independent filmmaker Morris Engel.	Weddings and Babies	Morris Engel
director	No One's Son (Croatian: Ničiji sin) is a 2008 Croatian film directed by Arsen Anton Ostojić.	No One's Son	Arsen Anton Ostojić
director	Azhagai Irukkirai Bayamai Irukkirathu (also known as AIBI; Tamil: அழகாய் இருக்கிறாய் பயமாய் இருக்கிறது; English: You look beautiful, (so) I'm scared!) is a 2006 Indian Tamil romantic comedy film written and directed by cinematographer-turned-director S.D. Vijay Milton.	Azhagai Irukkirai Bayamai Irukkirathu	Vijay Milton
director	Cheolindo is a 1930 Korean film written, directed by and starring Na Woon-gyu.	Cheolindo	Na Woon-gyu
director	Kill Me Three Times is a 2014 American-Australian black comedy thriller film directed by Kriv Stenders.	Kill Me Three Times	Kriv Stenders
director	Hospitals Don't Burn Down is a 1978 short dramatised documentary film directed by Brian Trenchard-Smith about a fire at a hospital.	Hospitals Don't Burn Down	Brian Trenchard-Smith
director	Tears of April (Finnish: Käsky) is a 2008 Finnish war drama film directed by Aku Louhimies.	Tears of April	Aku Louhimies
director	Down in the Delta is a 1998 drama film directed by Maya Angelou.	Down in the Delta	Maya Angelou
director	Naga Phasa (Odia: ନାଗଫାଶ) is a 1977 Indian Oriya film directed by Basant Nayak.	Naga Phasa	Basant Nayak
director	Our Hearts Were Growing Up is a 1946 American comedy film directed by William D. Russell and written by Melvin Frank, Norman Panama and Frank Waldman.	Our Hearts Were Growing Up	William D. Russell
director	A Perfect Gentleman (Swedish:En perfekt gentleman) is a 1927 Swedish silent drama film directed by Vilhelm Bryde and Gösta Ekman and starring Ekman, La Jana and Karin Swanström.	A Perfect Gentleman	Vilhelm Bryde	Gösta Ekman
director	Vallavanukku Pullum Aayudham (English: For the wise man, even grass is a weapon) is an Indian Tamil action comedy film directed by comedian Srinath, released by Studio Green on 10 May 2014.	Vallavanukku Pullum Aayudham	Srinath
director	Close Range (formerly known as Dust Up) is a 2015 American action thriller film directed by Isaac Florentine, and starring Scott Adkins, Nick Chinlund, Jake La Botz, and Tony Perez.	Close Range	Isaac Florentine
director	Első kétszáz évem is a 1985 Hungarian drama film directed by Gyula Maár.	Első kétszáz évem	Gyula Maár
director	Guests Who Arrived on the Last Train (Hangul: 막차로 온 손님들; RR: Makcharo on sonnimdeul) is a 1967 South Korean film directed by Yu Hyun-mok.	Guests Who Arrived on the Last Train	Yu Hyun-mok
director	Long Vacations of 36 (Spanish: Las largas vacaciones del 36) is a 1976 Spanish drama film directed by Jaime Camino dealing with the effects of Spanish Civil War on a bourgeois family trapped by the conflict in a tourist village near Barcelona.	Long Vacations of 36	Jaime Camino
director	Killer Adios (also known as Killer Goodbye, Winchester Justice ad Winchester One of One Thousand ) is a 1968 Italian spaghetti western directed by Primo Zeglio.	Killer Adios	Primo Zeglio
director	Snapshot of a Crime (Italian: Istantanea per un delitto) is a 1975 Italian giallo film written and directed by Mario Imperoli (here credited as Arthur Saxon).	Snapshot of a Crime	Mario Imperoli
director	Rigoletto e la sua tragedia (i. e. ``Rigoletto and His Tragedy'', also known just as Rigoletto) is a 1956 Italian musical drama film written and directed by Flavio Calzavara and starring Luciano Tajoli and Jula De Palma.	Rigoletto e la sua tragedia	Flavio Calzavara
director	Tango Feroz: la leyenda de Tanguito (Spanish: Wild tango: the legend of Tanguito) is a 1993 Argentine drama musical film directed by Marcelo Piñeyro.	Tango Feroz	Marcelo Piñeyro
director	Paramparça is a 1985 Turkish action film, directed by Halit Refiğ and starring Tarik Akan, Gülsen Bubikoglu, and Cüneyt Arkin.	Paramparça	Halit Refiğ
director	The Gay Parisian is an American short film produced in 1941 by Warner Bros. and directed by Jean Negulesco.	The Gay Parisian	Jean Negulesco
director	The Little Wheedlers (or Les petits câlins) is a French comedy film directed by Jean-Marie Poiré.	The Little Wheedlers	Jean-Marie Poiré
director	André and Ursula is a 1955 West German drama film directed by Werner Jacobs and starring Ivan Desny, Elisabeth Müller and Walter Clemens.	André and Ursula	Werner Jacobs
director	Mask of Dust, released in the United States as A Race for Life, is a 1954 British drama film directed by Terence Fisher.	Mask of Dust	Terence Fisher
director	The Night the Prowler (aka. Patrick White's The Night the Prowler) is a 1978 Australian film produced by Anthony Buckley and directed by Jim Sharman and written by Patrick White.	The Night the Prowler	Jim Sharman
director	Kanda Naal Mudhal (English: From the day I saw you) is a 2005 Indian Tamil romantic comedy film written and directed by newcomer V. Priya, who had earlier assisted Mani Ratnam.	Kanda Naal Mudhal	V. Priya
director	Det kære legetøj (The Dear Toy, also known as Danish Blue), made in 1968 by director Gabriel Axel, is a Danish feature film advocating the legalizing of pornography.	Det kære legetøj	Gabriel Axel
director	Soft Shoulders, Sharp Curves (German: Die Auto-Nummer - Sex auf Rädern) is an erotic, comedy film directed by Gabriel Axel and Richard R. Rimmel, and released in 1972.	Soft Shoulders, Sharp Curves	Gabriel Axel
director	Why Sailors Go Wrong is a 1928 American silent comedy film directed by Henry Lehrman and written by Randall Faye and Delos Sutherland.	Why Sailors Go Wrong	Henry Lehrman
director	Desh Premee (English translation The Patriot) is a 1982 Hindi film directed by Manmohan Desai.	Desh Premee	Manmohan Desai
director	Sing, Cowboy, Sing is a 1937 American film directed by Robert N. Bradbury, one of Tex Ritter's singing cowboy film series for Grand National Films.	Sing, Cowboy, Sing	Robert N. Bradbury
director	Panchamrutham is a 1977 Indian Malayalam film, directed by J. Sasikumar and produced by EK Thyagarajan.	Panchamrutham	J. Sasikumar
director	Spike Up is a 2007 Australian short film, written and directed by award winning film-maker Anthony Maras, and produced in association with the Australian Film Commission, the Adelaide Film Festival Investment Fund and the South Australian Film Corporation.	Spike Up	Anthony Maras
director	Thambi Durai (Tamil: தம்பிதுரை) is a 1997 Indian Tamil film, directed by Senthilnathan and produced by K. Santhamani.	Thambi Durai	Senthilnathan
director	The Central Park Five is a 2012 documentary film about the Central Park jogger case, directed by documentary filmmaker Ken Burns, his daughter Sarah Burns, and her husband David McMahon.	The Central Park Five	Ken Burns
director	Last Wedding is a 2001 Canadian comedy drama film written and directed by Bruce Sweeney.	Last Wedding	Bruce Sweeney
director	Kola Kolaya Mundhirika (Tamil: கொல கொலயா முந்திரிக்கா) is a 2010 Tamil comedy film written by Crazy Mohan and directed by Madhumitha.	Kola Kolaya Mundhirika	Madhumitha
director	Picture Claire is a 2001 thriller film directed by Bruce McDonald of a screenplay by Semi Chellas.	Picture Claire	Bruce McDonald
director	To Mary - with Love is a 1936 American drama film directed by John Cromwell and written by Richard Sherman and Howard Ellis Smith.	To Mary - with Love	John Cromwell
director	Cannot Live Without You (Chinese: 不能没有你) is a 2009 Taiwanese film directed by Leon Dai, a professional Taiwanese actor.	Cannot Live Without You	Leon Dai
director	Utkarsha (Kannada: ಉತ್ಕರ್ಷ) is a 1990 Kannada movie by Sunil Kumar Desai starring Devraj.	Utkarsha	Sunil Kumar Desai
director	Okariki Okaru (Telugu: ఒకరికి ఒకరు, English: Each for the other) is a classical Indian movie directed by Director-turned-Cinematographer Rasool Ellore.	Okariki Okaru	Rasool Ellore
director	The 56-minute Gold Raiders was economically filmed in five days by director Edward Bernds, who also directed several of the Stooges' shorts.	Gold Raiders	Edward Bernds
director	Un jour mon prince! is an upcoming 2016 French-Canadian comedy film directed by Flavia Coste.	Un jour mon prince!	Flavia Coste
director	Krishna Nee Kunidaga is a 1989 Indian Kannada romantic-drama film written, directed and produced by Dwarakish.	Krishna Nee Kunidaga	Dwarakish
